VillageName,Latitude,Longitude,Workers
Olmos,-5.984722,-79.745278,12
Motupe,-6.151944,-79.714167,9
Salas,-5.830833,-80.613889,14
Jayanca,-6.352222,-80.025000,7
Túcume,-6.510556,-79.856389,13
Mochumí,-6.546944,-79.863056,6
Mórrope,-6.541667,-80.011111,11
Pacora,-6.437778,-79.846389,8
Illimo,-6.513611,-79.860000,10
La Victoria,-6.765278,-79.840556,15
San José,-6.742500,-79.829167,5
Chongoyape,-6.640000,-79.450000,12
Pítipo,-6.640000,-79.800000,9
Ferreñafe,-6.636111,-79.788889,13
Pueblo Nuevo,-6.650000,-79.800000,7
Incahuasi,-6.300000,-79.500000,14
Cañaris,-6.200000,-79.600000,8
Manuel Antonio Mesones Muro,-6.350000,-79.700000,10
Lagunas,-6.400000,-79.750000,6
Pomalca,-6.700000,-79.800000,11
Pucalá,-6.750000,-79.850000,9
Reque,-6.865556,-79.817778,13
Saña,-6.900000,-79.900000,7
Tuman,-6.950000,-79.950000,12
Eten,-6.800000,-79.900000,5
Monsefú,-6.878056,-79.872222,14
Santa Rosa,-6.950000,-79.950000,8
Pimentel,-6.836667,-79.934167,10
La Victoria,-6.765278,-79.840556,6
José Leonardo Ortiz,-6.800000,-79.850000,11
Chiclayo,-6.776944,-79.844167,9
Lambayeque,-6.701111,-79.906111,13
Picsi,-6.717778,-79.769722,7
Eten Puerto,-6.900000,-79.900000,12
Patapo,-6.700000,-79.800000,5
Oyotún,-6.851944,-79.303611,14
Nueva Arica,-6.800000,-79.700000,8
Lagunas,-6.400000,-79.750000,10
Chochope,-6.600000,-79.700000,6
Illimo,-6.513611,-79.860000,11
Motupe,-6.151944,-79.714167,9
Salas,-5.830833,-80.613889,13
Jayanca,-6.352222,-80.025000,7
Túcume,-6.510556,-79.856389,12
Mochumí,-6.546944,-79.863056,8
Mórrope,-6.541667,-80.011111,10
Pacora,-6.437778,-79.846389,6
Illimo,-6.513611,-79.860000,11
La Victoria,-6.765278,-79.840556,9
San José,-6.742500,-79.829167,14
Chongoyape,-6.640000,-79.450000,7
